



('0.46', ', ', '05/06/2023 16:48:05')
('0.57', ', ', '05/06/2023 16:48:06')
('0.42', ', ', '05/06/2023 16:48:07')
('0.60', ', ', '05/06/2023 16:48:08')
('0.38', ', ', '05/06/2023 16:48:08')
('0.61', ', ', '05/06/2023 16:48:09')
('0.37', ', ', '05/06/2023 16:48:10')
('0.59', ', ', '05/06/2023 16:48:11')
('0.38', ', ', '05/06/2023 16:48:12')
('0.55', ', ', '05/06/2023 16:48:12')
('0.40', ', ', '05/06/2023 16:48:13')
('0.50', ', ', '05/06/2023 16:48:14')
('0.44', ', ', '05/06/2023 16:48:15')
('0.18', ', ', '05/06/2023 16:48:15')
('0.17', ', ', '05/06/2023 16:48:16')
('0.21', ', ', '05/06/2023 16:48:17')
('0.19', ', ', '05/06/2023 16:48:18')
('0.92', ', ', '05/06/2023 16:48:19')
('0.54', ', ', '05/06/2023 16:48:19')
('0.40', ', ', '05/06/2023 16:48:20')
('0.55', ', ', '05/06/2023 16:48:21')
('0.41', ', ', '05/06/2023 16:48:22')
('0.57', ', ', '05/06/2023 16:48:22')
('0.40', ', ', '05/06/2023 16:48:23')
('0.60', ', ', '05/06/2023 16:48:24')
('0.40', ', ', '05/06/2023 16:48:25')
('0.61', ', ', '05/06/2023 16:48:26')
('0.45', ', ', '05/06/2023 16:48:26')
('0.52', ', ', '05/06/2023 16:48:27')
('0.46', ', ', '05/06/2023 16:48:28')
('0.45', ', ', '05/06/2023 16:48:29')
('0.52', ', ', '05/06/2023 16:48:29')
('0.39', ', ', '05/06/2023 16:48:30')
('0.59', ', ', '05/06/2023 16:48:31')
('0.20', ', ', '05/06/2023 16:48:32')
('0.19', ', ', '05/06/2023 16:48:33')
('0.20', ', ', '05/06/2023 16:48:33')
('0.17', ', ', '05/06/2023 16:48:34')
('0.77', ', ', '05/06/2023 16:48:35')
('0.63', ', ', '05/06/2023 16:48:36')
('0.39', ', ', '05/06/2023 16:48:36')
('0.56', ', ', '05/06/2023 16:48:37')
('0.40', ', ', '05/06/2023 16:48:38')
('0.52', ', ', '05/06/2023 16:48:39')
('0.43', ', ', '05/06/2023 16:48:40')
('0.52', ', ', '05/06/2023 16:48:40')
('0.46', ', ', '05/06/2023 16:48:41')
('0.43', ', ', '05/06/2023 16:48:42')
('0.56', ', ', '05/06/2023 16:48:43')
('0.44', ', ', '05/06/2023 16:48:43')
('0.58', ', ', '05/06/2023 16:48:44')
('0.40', ', ', '05/06/2023 16:48:45')
('0.62', ', ', '05/06/2023 16:48:46')
('0.37', ', ', '05/06/2023 16:48:46')
('0.18', ', ', '05/06/2023 16:48:47')
